Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category	confidence
1	Spectrogram 1	1	14.341079040	14.848948320	179.842	354.695	w	0.40979016
2	Spectrogram 1	1	18.460796160	18.955365440	169.141	368.332	w	0.44517127
3	Spectrogram 1	1	16.422896240	16.905825440	178.181	348.539	w	0.27498978
4	Spectrogram 1	1	22.607222720	23.082735360	178.651	357.535	w	0.4560421
5	Spectrogram 1	1	20.194803104	20.725882208	178.211	335.614	w	0.3123257
6	Spectrogram 1	1	27.222688480	27.622908800	172.337	353.371	w	0.3130661
7	Spectrogram 1	1	25.212430544	25.694240480	177.999	354.906	w	0.2982527
8	Spectrogram 1	1	28.870492160	29.239574400	168.586	355.100	w	0.27795792
10	Spectrogram 1	1	52.938902400	54.034364800	306.300	543.213	m	0.5314227
11	Spectrogram 1	1	58.133905280	59.088884800	294.229	511.307	m	0.7442226
13	Spectrogram 1	1	63.514117120	64.477230880	287.620	500.009	m	0.58977824
14	Spectrogram 1	1	62.694332800	63.065154560	170.534	390.343	w	0.3907631
15	Spectrogram 1	1	61.360347680	61.824244611	65.701	400.491	lt	0.3844818
16	Spectrogram 1	1	68.328904800	69.349561387	302.211	524.911	m	0.5243371
17	Spectrogram 1	1	69.165208960	69.453863360	171.786	356.732	w	0.34945947
18	Spectrogram 1	1	73.171572800	74.148398400	296.873	521.844	m	0.5445356
19	Spectrogram 1	1	72.801640160	73.164128960	161.504	340.438	w	0.49420524
20	Spectrogram 1	1	78.995177760	79.357242240	151.935	405.871	w	0.6076036
21	Spectrogram 1	1	77.680819360	78.671975040	303.421	528.864	m	0.57821614
22	Spectrogram 1	1	82.579474080	83.636142560	310.224	518.045	m	0.7196831
23	Spectrogram 1	1	88.485963360	89.048633760	212.552	416.408	w	0.6096263
24	Spectrogram 1	1	86.944433600	88.252068065	292.383	554.402	m	0.37699598
25	Spectrogram 1	1	92.675706560	93.727400000	294.262	523.914	m	0.6174415
26	Spectrogram 1	1	98.156475520	99.388584960	300.153	517.200	m	0.6890086
27	Spectrogram 1	1	103.083619680	104.297700800	301.165	523.685	m	0.8146106
28	Spectrogram 1	1	109.069073280	109.483737280	168.716	354.547	w	0.536809
29	Spectrogram 1	1	112.864185600	113.340301760	167.415	429.668	w	0.6191273
30	Spectrogram 1	1	110.164079776	110.688266480	245.640	424.793	w	0.33042267
