Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category	confidence
1	Spectrogram 1	1	3.415403200	3.922597600	166.255	576.618	w	0.8447016
2	Spectrogram 1	1	0.779019040	1.305243680	169.342	463.956	w	0.7267496
3	Spectrogram 1	1	8.598628800	8.940181600	35.154	829.765	lt	0.95013815
4	Spectrogram 1	1	8.018202080	8.547033280	171.184	543.159	w	0.91209906
5	Spectrogram 1	1	5.791693440	6.206904800	167.726	483.271	w	0.8782853
6	Spectrogram 1	1	13.216407200	13.715269600	188.290	555.268	w	0.86280423
7	Spectrogram 1	1	11.393382080	11.772163360	138.966	469.826	w	0.58481014
8	Spectrogram 1	1	17.188148960	17.735177760	186.410	569.784	w	0.9204987
9	Spectrogram 1	1	19.061665600	19.563558080	145.934	438.098	w	0.90172094
10	Spectrogram 1	1	15.217442448	15.739506768	148.435	416.843	w	0.7920617
11	Spectrogram 1	1	22.306588800	22.799508320	154.393	437.259	w	0.9113167
12	Spectrogram 1	1	20.670457520	21.035037360	182.050	526.070	w	0.8941605
13	Spectrogram 1	1	23.872281600	24.302615200	193.781	603.572	w	0.8841177
15	Spectrogram 1	1	27.431832480	27.960370560	177.148	554.151	w	0.90968823
16	Spectrogram 1	1	29.516597120	29.983329600	143.797	449.124	w	0.9007135
17	Spectrogram 1	1	25.540384528	25.945119520	135.286	389.504	w	0.8000644
18	Spectrogram 1	1	31.210970944	31.819187744	179.976	576.566	w	0.9155612
19	Spectrogram 1	1	33.233600800	33.626488000	263.714	514.581	w	0.34322554
20	Spectrogram 1	1	35.000000000	35.461567632	167.593	609.691	w	0.8643348
21	Spectrogram 1	1	37.715629920	38.375552800	176.114	531.661	w	0.79968536
23	Spectrogram 1	1	40.000000000	40.448624384	170.394	409.462	w	0.7880069
24	Spectrogram 1	1	41.951514160	42.609235360	170.300	431.178	w	0.67480284
25	Spectrogram 1	1	44.230668800	44.699034240	143.610	373.452	w	0.6618032
26	Spectrogram 1	1	48.625433600	49.066209920	135.070	419.298	w	0.8962738
28	Spectrogram 1	1	46.386259040	47.005507360	168.970	496.995	w	0.30202627
