Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category	confidence
1	Spectrogram 1	1	3.369282240	4.260119200	236.587	867.168	m	0.8817425
2	Spectrogram 1	1	0.000000000	0.609934448	216.416	797.599	m	0.74528617
3	Spectrogram 1	1	2.092595680	2.881203200	242.177	708.644	m	0.6519089
4	Spectrogram 1	1	1.783414560	2.060016000	115.239	868.492	m	0.35831246
5	Spectrogram 1	1	2.835910080	3.158831520	32.040	331.616	lt	0.34952492
6	Spectrogram 1	1	7.475349920	8.157262880	239.847	836.087	m	0.7545143
7	Spectrogram 1	1	6.123008320	6.858161120	63.023	389.168	lt	0.7517589
8	Spectrogram 1	1	5.861192448	6.594120640	264.090	730.093	m	0.6420674
9	Spectrogram 1	1	6.933446240	7.545536160	152.617	534.014	m	0.59218675
10	Spectrogram 1	1	8.173180640	9.210962880	272.021	499.217	m	0.5828612
11	Spectrogram 1	1	5.000000000	5.573465392	166.487	733.399	m	0.56821483
12	Spectrogram 1	1	9.305439520	9.585632000	0.000	283.965	lt	0.4966117
13	Spectrogram 1	1	9.146014400	10.006063040	238.045	732.353	m	0.475905
14	Spectrogram 1	1	11.754917920	12.491234880	214.860	685.867	m	0.7551716
15	Spectrogram 1	1	14.549026400	15.006077120	248.345	690.261	m	0.7097354
16	Spectrogram 1	1	12.407414720	13.071785920	76.456	512.091	lt	0.4248003
17	Spectrogram 1	1	14.218752000	14.551310400	191.465	728.535	m	0.263238
18	Spectrogram 1	1	15.831519280	16.617888160	245.572	734.127	m	0.8108503
19	Spectrogram 1	1	15.000000000	15.196015072	265.387	736.938	m	0.6894947
20	Spectrogram 1	1	19.300484320	19.970601600	242.201	727.818	m	0.68475664
21	Spectrogram 1	1	15.099513792	15.844244160	232.244	475.737	m	0.6240365
22	Spectrogram 1	1	18.326501440	18.967020000	92.773	647.307	lt	0.3875106
24	Spectrogram 1	1	24.241594720	25.110459674	148.148	521.164	m	0.7494903
25	Spectrogram 1	1	23.435563119	24.011659680	50.425	280.423	lt	0.6810465
26	Spectrogram 1	1	22.447015200	24.029615099	266.506	518.519	m	0.6250565
27	Spectrogram 1	1	27.628984320	28.170958080	245.964	774.964	m	0.8064828
28	Spectrogram 1	1	25.344035520	25.983437120	233.852	683.217	m	0.7894981
29	Spectrogram 1	1	29.069317920	29.989216320	231.394	722.107	m	0.7102715
30	Spectrogram 1	1	26.167591360	27.083681600	238.545	473.904	m	0.4708364
31	Spectrogram 1	1	26.823959680	27.667325920	187.831	506.635	m	0.43154234
32	Spectrogram 1	1	27.727694926	28.678557600	158.730	460.317	m	0.33049843
34	Spectrogram 1	1	31.527675296	32.038373536	271.897	796.068	m	0.78492874
35	Spectrogram 1	1	30.214235344	30.880287472	38.698	312.169	lt	0.698497
36	Spectrogram 1	1	34.034988320	34.957105600	151.033	460.914	m	0.6021491
37	Spectrogram 1	1	33.424295360	34.124254400	263.856	649.191	m	0.5417879
38	Spectrogram 1	1	34.804608320	35.008000000	244.500	751.880	m	0.5335755
39	Spectrogram 1	1	30.000000000	30.364475152	266.101	513.880	m	0.34129718
40	Spectrogram 1	1	35.005020035	35.512509152	240.508	853.455	m	0.83760625
41	Spectrogram 1	1	36.631980301	37.163845920	53.467	298.942	lt	0.63114506
42	Spectrogram 1	1	39.674740160	39.992745120	278.061	651.447	m	0.5906475
43	Spectrogram 1	1	38.075856642	38.848531200	134.921	589.947	m	0.5532116
