Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category	confidence
1	Spectrogram 1	1	3.105176320	3.462287040	22.573	400.851	lt	0.6793736
2	Spectrogram 1	1	8.737934080	9.062541440	258.636	430.561	w	0.25565025
3	Spectrogram 1	1	10.192254944	10.646112480	65.842	404.033	lt	0.67141
5	Spectrogram 1	1	11.546557600	11.761440019	253.929	727.273	m	0.26665556
6	Spectrogram 1	1	17.890247360	18.358399200	38.381	372.087	lt	0.6317321
7	Spectrogram 1	1	15.278503424	15.456418512	241.019	713.075	m	0.42641118
8	Spectrogram 1	1	16.378519520	16.734632320	196.650	425.161	w	0.32255995
9	Spectrogram 1	1	20.847309280	21.690581280	202.475	638.024	m	0.75123054
10	Spectrogram 1	1	22.644190880	23.108686080	190.983	507.291	m	0.62653065
11	Spectrogram 1	1	20.024884949	20.492412720	168.052	480.868	m	0.609036
12	Spectrogram 1	1	22.257650400	22.772903360	70.454	336.913	lt	0.50536615
13	Spectrogram 1	1	26.367024160	27.336507520	342.780	601.726	m	0.7614128
14	Spectrogram 1	1	25.030248016	25.309054448	0.000	280.624	lt	0.45731756
15	Spectrogram 1	1	28.811777280	28.966285120	211.534	689.112	m	0.28561047
16	Spectrogram 1	1	27.658102560	28.138062400	241.214	420.066	w	0.27413595
17	Spectrogram 1	1	32.091515200	32.783062080	26.717	328.642	lt	0.8020203
18	Spectrogram 1	1	31.144942080	32.039687744	336.017	612.592	m	0.636454
19	Spectrogram 1	1	34.475662080	34.945840000	242.975	402.216	w	0.50731087
20	Spectrogram 1	1	35.000000000	35.342849184	270.953	755.826	lt	0.7992837
21	Spectrogram 1	1	38.827025440	39.910629920	193.843	614.994	m	0.78077155
22	Spectrogram 1	1	37.851505440	38.233567840	175.697	414.317	w	0.38060448
23	Spectrogram 1	1	41.929490480	42.384326880	48.229	526.505	lt	0.79974616
24	Spectrogram 1	1	44.316445280	44.848816480	232.117	566.737	m	0.7052754
25	Spectrogram 1	1	44.706300800	45.008000000	5.643	307.774	lt	0.5471697
26	Spectrogram 1	1	40.602728512	41.049492000	269.207	481.145	w	0.30403098
27	Spectrogram 1	1	44.302614720	44.430908800	219.199	691.257	m	0.30322805
28	Spectrogram 1	1	45.036084717	45.994140864	281.102	615.970	m	0.6846052
29	Spectrogram 1	1	46.731497280	47.142188480	66.636	423.758	lt	0.6698098
30	Spectrogram 1	1	48.416380160	48.908870880	246.022	446.263	w	0.26638597
31	Spectrogram 1	1	49.903843721	50.990260256	194.047	625.676	m	0.79025763
32	Spectrogram 1	1	54.288862400	54.582670880	207.043	506.734	w	0.5645135
33	Spectrogram 1	1	51.129140640	51.691494624	206.836	403.057	w	0.40035918
34	Spectrogram 1	1	55.116315952	56.137297856	349.524	632.360	m	0.53711754
36	Spectrogram 1	1	57.587240800	57.906891200	27.268	290.846	lt	0.49322888
37	Spectrogram 1	1	59.753405108	60.678521968	340.800	643.443	m	0.7401672
38	Spectrogram 1	1	63.878282880	65.008000000	333.294	625.881	m	0.57797205
39	Spectrogram 1	1	61.627433575	62.519282400	262.323	454.545	w	0.34671214
40	Spectrogram 1	1	60.802853392	61.319111680	238.276	444.035	w	0.275746
41	Spectrogram 1	1	69.265880000	70.399220244	339.030	630.189	m	0.6522291
42	Spectrogram 1	1	65.329629632	65.642332512	54.642	868.426	lt	0.59409904
43	Spectrogram 1	1	68.548683520	68.785471680	3.485	285.527	lt	0.39231092
44	Spectrogram 1	1	67.889118240	68.293809600	184.379	357.620	w	0.37700877
46	Spectrogram 1	1	73.883655840	75.310124180	346.703	645.898	m	0.6013277
47	Spectrogram 1	1	71.664404320	72.103039520	226.704	425.423	w	0.49055642
48	Spectrogram 1	1	73.139125280	73.456878240	68.788	287.556	lt	0.46915784
