Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category
1	Spectrogram 1	1	4.1158326670000065	11.856601398999999	165.877	881.517	m
2	Spectrogram 1	1	12.455994504999978	27.717754495999998	156.398	895.735	m
3	Spectrogram 1	1	28.187279095999997	34.111280969000006	172.986	945.498	m
4	Spectrogram 1	1	35.138846903	36.29767357600002	201.422	587.678	m
5	Spectrogram 1	1	36.487481393999985	40.043880494999996	156.398	962.085	m
6	Spectrogram 1	1	40.193728770999996	40.71320279700001	80.569	675.355	lt
7	Spectrogram 1	1	40.60331406099999	43.66021890600001	168.246	954.976	m
8	Spectrogram 1	1	44.078401848	45.496965534000026	184.834	940.758	m
9	Spectrogram 1	1	48.523900723999986	50.741655219999984	161.137	978.673	m
10	Spectrogram 1	1	51.439554945	59.51138211799997	156.398	962.085	m
11	Spectrogram 1	1	61.957511737999994	64.235205544	187.204	947.867	m
12	Spectrogram 1	1	65.953465784	75.002909466	144.55	954.976	m
13	Spectrogram 1	1	93.92956506000002	106.80513474000003	206.161	952.607	m
14	Spectrogram 1	1	109.41249475500001	123.735205544	208.531	943.128	m
15	Spectrogram 1	1	123.81512462500001	126.60230257199999	175.355	518.957	m
16	Spectrogram 1	1	123.88505382099999	126.13277797199999	241.706	736.967	m
17	Spectrogram 1	1	126.272636364	128.260623501	206.161	914.692	m
18	Spectrogram 1	1	128.93854345699998	133.97344555400002	218.009	928.91	m
19	Spectrogram 1	1	134.05336463499998	135.07233291699998	196.682	514.218	m
21	Spectrogram 1	1	128.29919080899998	128.928553571	213.27	497.63	m
22	Spectrogram 1	1	135.062343032	137.110269481	218.009	926.54	m
23	Spectrogram 1	1	137.138846903	137.44853334200002	196.682	473.934	w
24	Spectrogram 1	1	137.49848276699998	141.544386239	222.749	492.891	m
25	Spectrogram 1	1	140.83510439600002	143.042869006	225.118	966.825	m
26	Spectrogram 1	1	143.96193843700001	144.851038212	196.682	518.957	m
27	Spectrogram 1	1	147.397066683	149.56487175299998	229.858	824.645	m
28	Spectrogram 1	1	151.00341521000001	154.250127872	218.009	741.706	m
29	Spectrogram 1	1	155.307663462	163.31815909099998	151.659	978.673	m
30	Spectrogram 1	1	163.477997253	164.327137488	161.137	518.957	m
31	Spectrogram 1	1	168.662747627	169.57182717299997	161.137	511.848	m
32	Spectrogram 1	1	173.78616645900001	174.60533703800002	161.137	521.327	m
33	Spectrogram 1	1	178.201695679	178.90098763700001	165.877	523.697	m
34	Spectrogram 1	1	182.95548876100003	183.74468968500003	168.246	495.261	m
35	Spectrogram 1	1	188.47850299700002	189.277693806	158.768	552.133	m
36	Spectrogram 1	1	189.26770392100002	189.567400475	87.678	561.611	lt
37	Spectrogram 1	1	194.08282854599997	194.742160964	172.986	597.156	m
38	Spectrogram 1	1	194.8520497	195.641250624	170.616	793.839	m
39	Spectrogram 1	1	196.540340285	196.670208791	94.787	554.502	m
40	Spectrogram 1	1	199.28616645900001	199.935508991	149.289	578.199	m
41	Spectrogram 1	1	204.66072465000002	204.960421204	71.09	789.1	lt
