Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category
1	Spectrogram 1	1	1.457050304	2.393725499	32.333	554.273	lt
2	Spectrogram 1	1	3.200306917	4.067598764	27.714	667.436	lt
3	Spectrogram 1	1	6.140426279	7.025063964	32.333	674.365	lt
4	Spectrogram 1	1	8.326001735	9.141256071	34.642	475.751	lt
5	Spectrogram 1	1	10.092787728	11.012117086	36.952	688.222	lt
6	Spectrogram 1	1	13.171673786	13.848161427	32.333	653.580	lt
7	Spectrogram 1	1	15.435305507	16.293924436	55.427	519.630	lt
8	Spectrogram 1	1	16.848991219	17.698937229	25.404	595.843	lt
9	Spectrogram 1	1	18.520375108	19.101460646	34.642	669.746	lt
10	Spectrogram 1	1	20.575856787	21.391111123	34.642	484.988	lt
11	Spectrogram 1	1	22.301767563	22.934890611	20.785	665.127	lt
12	Spectrogram 1	1	24.435305507	25.285251518	36.952	556.582	lt
13	Spectrogram 1	1	26.352020490	27.219312337	32.333	660.508	lt
14	Spectrogram 1	1	29.541165113	30.226325672	34.642	658.199	lt
15	Spectrogram 1	1	32.082330225	33.001659584	25.404	702.079	lt
16	Spectrogram 1	1	33.574072203	34.701551605	32.333	616.628	lt
17	Spectrogram 1	1	36.806581418	37.431031548	32.333	662.818	lt
18	Spectrogram 1	1	39.243671509	40.050252927	32.333	473.441	lt
19	Spectrogram 1	1	40.032907090	40.709394731	30.023	651.270	lt
20	Spectrogram 1	1	43.207195252	43.866337056	30.023	667.436	lt
21	Spectrogram 1	1	44.907087272	45.748360364	36.952	542.725	lt
22	Spectrogram 1	1	46.066768972	46.665200347	32.333	667.436	lt
23	Spectrogram 1	1	47.905427689	48.712009107	30.023	547.344	lt
24	Spectrogram 1	1	50.281807350	51.235828382	27.714	655.889	lt
25	Spectrogram 1	1	52.666859931	53.516805941	27.714	575.058	lt
26	Spectrogram 1	1	63.069383348	63.893310603	30.023	595.843	lt
27	Spectrogram 1	1	64.509087814	65.272304640	30.023	653.580	lt
28	Spectrogram 1	1	66.425802797	67.310440481	30.023	478.060	lt
29	Spectrogram 1	1	67.891526019	68.758817866	25.404	542.725	lt
30	Spectrogram 1	1	70.111793148	70.710224523	36.952	648.961	lt
31	Spectrogram 1	1	71.620880963	72.479499892	41.570	903.002	lt
32	Spectrogram 1	1	73.665200347	74.541165113	25.404	676.674	lt
33	Spectrogram 1	1	74.827371422	75.720682025	23.095	482.679	lt
34	Spectrogram 1	1	76.856834345	77.836874133	27.714	662.818	lt
35	Spectrogram 1	1	79.328616110	80.187235039	32.333	468.822	lt
36	Spectrogram 1	1	80.404058001	81.193293582	41.570	667.436	lt
37	Spectrogram 1	1	82.214208586	83.081500434	36.952	563.510	lt
38	Spectrogram 1	1	84.313054857	85.093617520	34.642	494.226	lt
39	Spectrogram 1	1	84.859448721	85.648684302	36.952	678.984	lt
40	Spectrogram 1	1	86.767490785	87.678147225	30.023	503.464	lt
41	Spectrogram 1	1	88.927047485	89.664245555	36.952	681.293	lt
42	Spectrogram 1	1	91.300937771	92.124865026	30.023	508.083	lt
43	Spectrogram 1	1	92.254958803	93.000829792	30.023	676.674	lt
44	Spectrogram 1	1	95.021619796	95.611378252	27.714	510.393	lt
45	Spectrogram 1	1	96.842932676	97.753589115	34.642	475.751	lt
46	Spectrogram 1	1	98.022449588	98.750974740	32.333	561.201	lt
47	Spectrogram 1	1	100.829985798	101.653913053	32.333	678.984	lt
48	Spectrogram 1	1	103.301767563	104.247115676	30.023	510.393	lt
49	Spectrogram 1	1	104.481284475	105.279192975	30.023	672.055	lt
50	Spectrogram 1	1	105.478670100	105.756203491	43.880	704.388	lt
51	Spectrogram 1	1	107.612208044	108.375424870	32.333	526.559	lt
52	Spectrogram 1	1	109.335629445	110.220267129	32.333	676.674	lt
53	Spectrogram 1	1	112.483898851	113.091003144	25.404	646.651	lt
54	Spectrogram 1	1	114.461324263	115.155157741	16.166	519.630	lt
55	Spectrogram 1	1	114.808241002	115.502074480	34.642	498.845	lt
56	Spectrogram 1	1	116.083160017	116.776993495	27.714	667.436	lt
57	Spectrogram 1	1	119.966138118	120.842102884	30.023	478.060	lt
58	Spectrogram 1	1	121.015561253	121.709394731	36.952	547.344	lt
59	Spectrogram 1	1	122.975640828	123.704165980	32.333	669.746	lt
60	Spectrogram 1	1	125.230599631	126.080545642	32.333	540.416	lt
61	Spectrogram 1	1	126.797908500	127.708564939	27.714	443.418	lt
62	Spectrogram 1	1	127.474396141	128.298323395	23.095	669.746	lt
63	Spectrogram 1	1	130.067598764	130.830815590	30.023	540.416	lt
64	Spectrogram 1	1	132.374595078	133.215868170	27.714	459.584	lt
65	Spectrogram 1	1	132.999045208	133.623495338	30.023	692.841	lt
66	Spectrogram 1	1	135.019835212	135.878454141	18.476	551.963	lt
67	Spectrogram 1	1	137.463108846	138.304381938	34.642	459.584	lt
68	Spectrogram 1	1	138.677317433	139.475225932	27.714	662.818	lt
69	Spectrogram 1	1	140.541994905	141.374595078	23.095	535.797	lt
70	Spectrogram 1	1	142.536766154	143.334674653	20.785	678.984	lt
71	Spectrogram 1	1	145.153498157	146.150883781	23.095	535.797	lt
72	Spectrogram 1	1	146.905427689	147.668644514	23.095	690.531	lt
73	Spectrogram 1	1	149.871565807	150.730184735	20.785	725.173	lt
74	Spectrogram 1	1	151.796953708	152.698937229	30.023	466.513	lt
75	Spectrogram 1	1	153.156112533	153.997385624	27.714	651.270	lt
76	Spectrogram 1	1	155.974811036	156.911486232	27.714	549.654	lt
77	Spectrogram 1	1	157.770105160	158.698107437	39.261	672.055	lt
78	Spectrogram 1	1	160.684205768	161.516805941	23.095	676.674	lt
79	Spectrogram 1	1	162.945348114	163.812639961	27.714	501.155	lt
