Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category
1	Spectrogram 1	1	1.898078172	2.557410589	88.685	391.437	lt
2	Spectrogram 1	1	4.115832667	5.004932443	100.917	538.226	lt
3	Spectrogram 1	1	5.314618881	5.474457043	143.731	516.820	w
4	Spectrogram 1	1	5.504426698	6.143779346	73.394	391.437	lt
5	Spectrogram 1	1	6.503415210	6.952960040	94.801	324.159	lt
6	Spectrogram 1	1	7.872029471	8.581311314	73.394	385.321	lt
7	Spectrogram 1	1	10.038948052	10.908068057	110.092	565.749	lt
8	Spectrogram 1	1	11.377592657	11.976985764	70.336	406.728	lt
9	Spectrogram 1	1	14.444487388	15.273647852	70.336	412.844	lt
10	Spectrogram 1	1	16.842059815	17.551341658	88.685	507.645	lt
11	Spectrogram 1	1	17.990896603	18.600279595	67.278	379.205	lt
12	Spectrogram 1	1	20.717248751	21.386571054	88.685	385.321	lt
13	Spectrogram 1	1	23.404527847	24.103819805	61.162	391.437	lt
14	Spectrogram 1	1	25.752150849	26.621270854	73.394	547.401	lt
15	Spectrogram 1	1	27.159838162	27.779211039	88.685	388.379	lt
16	Spectrogram 1	1	28.278705295	29.097875874	110.092	370.031	lt
17	Spectrogram 1	1	29.757208292	30.516439560	91.743	519.878	lt
18	Spectrogram 1	1	32.524406469	33.303617507	76.453	379.205	lt
19	Spectrogram 1	1	35.011887862	35.751139361	100.917	507.645	lt
20	Spectrogram 1	1	38.737228521	39.636318182	76.453	513.761	lt
21	Spectrogram 1	1	41.704224401	42.573344406	91.743	394.495	lt
22	Spectrogram 1	1	44.551341658	45.430451548	85.627	510.703	lt
23	Spectrogram 1	1	47.957005994	48.766186688	76.453	382.263	lt
24	Spectrogram 1	1	50.094841409	50.554376124	137.615	697.248	w
25	Spectrogram 1	1	50.614315435	51.343577048	91.743	532.110	lt
26	Spectrogram 1	1	51.763152223	52.512393606	73.394	370.031	lt
27	Spectrogram 1	1	54.609382992	55.438543457	79.511	376.147	lt
28	Spectrogram 1	1	57.166793581	58.005943931	91.743	498.471	lt
29	Spectrogram 1	1	58.525417957	59.114821179	79.511	376.147	lt
30	Spectrogram 1	1	61.142767857	61.892009241	70.336	391.437	lt
31	Spectrogram 1	1	64.088897478	64.898078172	91.743	495.413	lt
32	Spectrogram 1	1	67.695246004	68.434497502	76.453	376.147	lt
33	Spectrogram 1	1	69.922990385	70.662241883	113.150	516.820	lt
34	Spectrogram 1	1	71.251645105	71.930957293	85.627	400.612	lt
35	Spectrogram 1	1	71.930957293	72.720158217	91.743	431.193	lt
36	Spectrogram 1	1	75.366591284	76.195751748	91.743	480.122	lt
37	Spectrogram 1	1	78.513405095	79.092818432	76.453	379.205	lt
38	Spectrogram 1	1	80.721169705	81.300583042	82.569	379.205	lt
39	Spectrogram 1	1	83.067906219	83.757208292	85.627	504.587	lt
40	Spectrogram 1	1	83.817147602	84.446510365	79.511	403.670	lt
41	Spectrogram 1	1	85.565377498	85.815124625	110.092	302.752	lt
42	Spectrogram 1	1	88.062848776	88.562343032	103.976	464.832	lt
43	Spectrogram 1	1	87.513405095	88.202707168	82.569	385.321	lt
44	Spectrogram 1	1	89.881007867	90.530350400	76.453	391.437	lt
45	Spectrogram 1	1	91.738240010	92.697268981	70.336	516.820	lt
46	Spectrogram 1	1	92.727238636	93.086874500	159.021	412.844	w
47	Spectrogram 1	1	94.455488761	95.074861638	107.034	418.960	lt
48	Spectrogram 1	1	94.984952672	95.574355894	70.336	666.667	lt
49	Spectrogram 1	1	96.962949925	97.951948551	103.976	495.413	lt
50	Spectrogram 1	1	98.101796828	98.821068556	107.034	819.572	lt
51	Spectrogram 1	1	101.367602772	102.106854271	97.859	522.936	lt
52	Spectrogram 1	1	104.963961414	106.012899351	85.627	452.599	lt
53	Spectrogram 1	1	108.329666209	108.988998626	91.743	385.321	lt
54	Spectrogram 1	1	111.556399101	112.215731518	58.104	700.306	lt
55	Spectrogram 1	1	112.365579795	113.134800949	85.627	519.878	lt
56	Spectrogram 1	1	115.132777972	115.842059815	82.569	360.856	lt
57	Spectrogram 1	1	118.488492882	119.437531968	88.685	504.587	lt
58	Spectrogram 1	1	121.085863012	121.825114510	76.453	376.147	lt
59	Spectrogram 1	1	123.563354520	124.292616134	79.511	388.379	lt
60	Spectrogram 1	1	125.861028097	126.540340285	91.743	382.263	lt
61	Spectrogram 1	1	128.287683691	129.156803696	100.917	513.761	lt
62	Spectrogram 1	1	129.416540709	129.926024850	107.034	330.275	lt
63	Spectrogram 1	1	131.054881868	131.814113137	64.220	397.554	lt
64	Spectrogram 1	1	133.462444181	134.321574301	67.278	477.064	lt
65	Spectrogram 1	1	135.988998626	136.688290584	107.034	376.147	lt
66	Spectrogram 1	1	138.266692433	138.936014735	82.569	388.379	lt
67	Spectrogram 1	1	140.534396354	141.083840035	91.743	385.321	lt
68	Spectrogram 1	1	142.092818432	142.882019356	94.801	519.878	lt
69	Spectrogram 1	1	143.231665335	143.890997752	55.046	385.321	lt
