Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category
1	Spectrogram 1	1	4.117081403	4.318127841	214.706	544.118	m
2	Spectrogram 1	1	6.582085555	6.888025787	211.765	573.529	m
3	Spectrogram 1	1	13.650291521	13.886302557	200.000	679.412	m
4	Spectrogram 1	1	17.111786713	17.321574301	285.294	579.412	m
5	Spectrogram 1	1	23.594335664	23.751676355	247.059	505.882	m
6	Spectrogram 1	1	31.746444165	31.860079108	294.118	661.765	m
7	Spectrogram 1	1	29.526192198	29.753462085	282.353	655.882	m
8	Spectrogram 1	1	39.129331512	39.374083698	270.588	611.765	m
9	Spectrogram 1	1	44.478914991	44.732408326	288.235	626.471	m
10	Spectrogram 1	1	46.477254261	46.634594952	326.471	617.647	m
11	Spectrogram 1	1	53.688702579	53.898490166	105.882	317.647	lt
12	Spectrogram 1	1	58.746444165	59.166019340	241.176	505.882	m
13	Spectrogram 1	1	61.298859812	61.561094296	285.294	470.588	m
14	Spectrogram 1	1	68.174760490	68.384548077	264.706	429.412	m
15	Spectrogram 1	1	71.540103038	71.784855223	264.706	438.235	m
16	Spectrogram 1	1	77.874052448	77.970205092	117.647	497.059	lt
17	Spectrogram 1	1	80.636255682	80.846043269	264.706	461.765	m
18	Spectrogram 1	1	85.702738418	85.938749454	302.941	629.412	m
19	Spectrogram 1	1	94.012187609	94.134563702	300.000	494.118	m
20	Spectrogram 1	1	97.622282343	97.753399585	279.412	626.471	m
21	Spectrogram 1	1	100.276207823	100.424807365	200.000	605.882	m
22	Spectrogram 1	1	105.879284637	106.027884178	208.824	617.647	m
24	Spectrogram 1	1	112.309386691	112.449245083	282.353	650.000	m
25	Spectrogram 1	1	119.071652426	119.272698864	226.471	679.412	m
26	Spectrogram 1	1	120.522683239	120.732470826	273.529	461.765	m
27	Spectrogram 1	1	126.038348558	126.318065341	250.000	702.941	m
28	Spectrogram 1	1	135.353029939	135.597782124	211.765	414.706	m
29	Spectrogram 1	1	143.033116368	143.286609703	238.235	647.059	m
30	Spectrogram 1	1	145.722006447	146.001723230	217.647	679.412	m
31	Spectrogram 1	1	151.464941652	151.788364183	235.294	658.824	m
32	Spectrogram 1	1	155.202769668	155.438780704	261.765	647.059	m
33	Spectrogram 1	1	163.783194493	164.027946678	244.118	435.294	m
34	Spectrogram 1	1	165.304154502	165.627577032	252.941	423.529	m
35	Spectrogram 1	1	170.461432692	170.662479130	297.059	523.529	m
36	Spectrogram 1	1	174.522683239	174.671282780	382.353	591.176	m
37	Spectrogram 1	1	178.569835446	178.858293378	261.765	423.529	m
38	Spectrogram 1	1	182.744720935	183.050661167	235.294	511.765	m
39	Spectrogram 1	1	187.097813374	187.403753606	294.118	658.824	m
40	Spectrogram 1	1	192.898552666	193.187010599	291.176	617.647	m
41	Spectrogram 1	1	197.408985795	197.784855223	264.706	617.647	m
42	Spectrogram 1	1	200.526192198	200.762203234	326.471	620.588	lt
43	Spectrogram 1	1	209.377592657	209.648568291	205.882	426.471	m
44	Spectrogram 1	1	211.545397727	211.693997268	261.765	408.824	m
45	Spectrogram 1	1	217.748229895	217.896829436	326.471	520.588	m
46	Spectrogram 1	1	223.281377513	223.395012456	405.882	650.000	m
47	Spectrogram 1	1	228.304154502	228.601353584	358.824	538.235	m
48	Spectrogram 1	1	234.335547640	234.510370629	458.824	579.412	m
49	Spectrogram 1	1	239.029607408	239.108277753	300.000	511.765	m
