Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category
1	Spectrogram 1	1	0.149848277	0.779211039	60.317	390.476	lt
2	Spectrogram 1	1	1.618361389	2.467501623	47.619	415.873	lt
3	Spectrogram 1	1	2.966995879	3.486469905	34.921	453.968	lt
4	Spectrogram 1	1	4.425519106	5.034902098	41.270	415.873	lt
5	Spectrogram 1	1	5.983941184	6.383536588	82.540	438.095	lt
6	Spectrogram 1	1	7.142767857	8.141756369	57.143	400.000	lt
7	Spectrogram 1	1	9.110775225	9.909966034	47.619	368.254	lt
8	Spectrogram 1	1	10.578401848	11.187784840	34.921	428.571	lt
9	Spectrogram 1	1	12.995954046	13.465478646	76.190	438.095	lt
10	Spectrogram 1	1	14.784143482	15.833081419	57.143	393.651	lt
11	Spectrogram 1	1	16.532373377	17.101796828	38.095	450.794	lt
12	Spectrogram 1	1	16.772130619	17.691200050	76.190	400.000	lt
13	Spectrogram 1	1	19.728250125	20.417552198	60.317	469.841	lt
14	Spectrogram 1	1	21.056904845	21.436520480	60.317	257.143	lt
15	Spectrogram 1	1	22.025923701	23.044891983	53.968	406.349	lt
16	Spectrogram 1	1	24.143779346	25.192717283	66.667	384.127	lt
17	Spectrogram 1	1	26.561331543	27.110775225	95.238	441.270	lt
18	Spectrogram 1	1	27.699291958	28.308674950	25.397	453.968	lt
19	Spectrogram 1	1	28.488492882	29.467501623	53.968	393.651	lt
20	Spectrogram 1	1	30.896055195	31.775165085	60.317	406.349	lt
21	Spectrogram 1	1	33.413506244	34.082828546	25.397	444.444	lt
22	Spectrogram 1	1	35.141756369	35.701189935	76.190	400.000	lt
23	Spectrogram 1	1	36.280603272	36.790087413	95.238	466.667	lt
24	Spectrogram 1	1	37.158826673	37.518462537	57.143	339.683	lt
25	Spectrogram 1	1	37.918057942	38.547420704	92.063	412.698	lt
26	Spectrogram 1	1	39.356601399	40.295650599	69.841	380.952	lt
27	Spectrogram 1	1	40.275670829	40.835104396	53.968	463.492	lt
28	Spectrogram 1	1	41.983941184	42.653263487	69.841	390.476	lt
29	Spectrogram 1	1	42.653263487	43.112798202	60.317	422.222	lt
30	Spectrogram 1	1	43.802100275	44.341554071	60.317	409.524	lt
31	Spectrogram 1	1	44.251645105	45.130754995	126.984	301.587	lt
32	Spectrogram 1	1	47.367602772	48.326631743	44.444	431.746	lt
33	Spectrogram 1	1	49.505438187	50.094841409	73.016	431.746	lt
34	Spectrogram 1	1	51.303617507	52.222686938	41.270	434.921	lt
35	Spectrogram 1	1	53.611280969	54.640239136	50.794	380.952	lt
36	Spectrogram 1	1	55.818159091	56.567400475	73.016	504.762	lt
37	Spectrogram 1	1	57.396560939	57.846105769	85.714	279.365	lt
38	Spectrogram 1	1	58.565377498	59.184750375	95.238	380.952	lt
39	Spectrogram 1	1	59.714214286	60.513405095	22.222	644.444	lt
40	Spectrogram 1	1	60.623293831	61.292616134	63.492	403.175	lt
41	Spectrogram 1	1	61.262646479	62.091806943	130.159	965.079	lt
42	Spectrogram 1	1	62.081817058	62.671220280	38.095	447.619	lt
43	Spectrogram 1	1	61.662241883	62.031867632	101.587	285.714	lt
44	Spectrogram 1	1	63.739251499	64.298685065	50.794	441.270	lt
45	Spectrogram 1	1	65.527440934	66.466490135	41.270	409.524	lt
46	Spectrogram 1	1	68.184750375	68.764163711	50.794	412.698	lt
47	Spectrogram 1	1	69.333587163	69.932980270	63.492	473.016	lt
48	Spectrogram 1	1	70.392514985	70.931968781	50.794	450.794	lt
