Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	category
1	Spectrogram 1	1	0.000000000	0.249747128	116.208	391.437	lt
2	Spectrogram 1	1	1.878098402	3.196763237	39.755	195.719	lt
3	Spectrogram 1	1	4.325620255	4.575367383	134.557	376.147	w
4	Spectrogram 1	1	4.815124625	5.714214286	64.220	305.810	lt
5	Spectrogram 1	1	5.674254745	6.423496129	91.743	290.520	lt
6	Spectrogram 1	1	7.302606019	8.121776598	58.104	272.171	lt
7	Spectrogram 1	1	7.921978896	8.181715909	159.021	373.089	w
8	Spectrogram 1	1	8.581311314	9.520360514	91.743	311.927	lt
9	Spectrogram 1	1	10.977997253	11.777188062	64.220	370.031	lt
10	Spectrogram 1	1	12.096864386	13.045903472	76.453	287.462	lt
11	Spectrogram 1	1	13.974962787	14.864062562	85.627	281.346	lt
12	Spectrogram 1	1	15.553364635	16.412494755	70.336	266.055	lt
13	Spectrogram 1	1	16.602302572	16.901999126	134.557	370.031	w
14	Spectrogram 1	1	17.701189935	18.710168332	76.453	256.881	lt
15	Spectrogram 1	1	19.068917707	19.948027597	79.511	259.939	lt
16	Spectrogram 1	1	19.058927822	19.328654720	180.428	376.147	w
17	Spectrogram 1	1	22.645296578	22.964972902	162.080	376.147	w
18	Spectrogram 1	1	22.765175200	23.654274975	73.394	376.147	lt
19	Spectrogram 1	1	25.702201424	26.031867632	189.602	415.902	w
20	Spectrogram 1	1	23.714214286	24.503415210	61.162	314.985	lt
21	Spectrogram 1	1	24.453465784	25.232676823	91.743	385.321	lt
22	Spectrogram 1	1	27.200684191	27.520360514	174.312	449.541	w
23	Spectrogram 1	1	27.020866259	27.939935689	70.336	302.752	lt
24	Spectrogram 1	1	29.087885989	30.046914960	85.627	366.972	lt
25	Spectrogram 1	1	31.695246004	32.044891983	128.440	415.902	w
26	Spectrogram 1	1	31.825114510	32.864062562	70.336	278.287	lt
27	Spectrogram 1	1	33.893020729	34.302606019	134.557	394.495	w
28	Spectrogram 1	1	36.180704421	36.530350400	143.731	434.251	w
29	Spectrogram 1	1	35.741149476	36.700178447	67.278	376.147	lt
30	Spectrogram 1	1	38.827137488	39.416540709	64.220	278.287	lt
31	Spectrogram 1	1	41.434497502	41.864062562	290.520	446.483	w
32	Spectrogram 1	1	40.385559565	40.565377498	140.673	443.425	w
33	Spectrogram 1	1	39.766186688	40.395549451	88.685	201.835	lt
34	Spectrogram 1	1	42.083840035	43.012899351	73.394	373.089	lt
35	Spectrogram 1	1	43.802100275	44.201695679	149.847	464.832	w
36	Spectrogram 1	1	45.479514486	46.488492882	85.627	287.462	lt
37	Spectrogram 1	1	46.118867133	46.458523227	284.404	431.193	w
38	Spectrogram 1	1	47.877086913	48.656297952	73.394	290.520	lt
39	Spectrogram 1	1	49.015933816	50.004932443	61.162	351.682	lt
40	Spectrogram 1	1	50.554376124	50.884042333	165.138	483.180	w
41	Spectrogram 1	1	50.124811064	51.213708541	61.162	314.985	lt
42	Spectrogram 1	1	51.233688312	52.122788087	70.336	388.379	lt
43	Spectrogram 1	1	54.299696553	55.108877248	64.220	382.263	lt
44	Spectrogram 1	1	55.288695180	56.167805070	82.569	269.113	lt
45	Spectrogram 1	1	56.667299326	57.726227148	73.394	391.437	lt
46	Spectrogram 1	1	59.184750375	59.354578422	275.229	437.309	w
47	Spectrogram 1	1	59.244689685	60.283637737	73.394	382.263	lt
48	Spectrogram 1	1	60.713202797	60.922990385	152.905	452.599	w
49	Spectrogram 1	1	62.121776598	62.311584416	140.673	400.612	w
50	Spectrogram 1	1	61.242666708	62.301594530	76.453	397.554	lt
51	Spectrogram 1	1	63.529463911	63.998988511	107.034	287.462	w
52	Spectrogram 1	1	64.078907592	64.858118631	42.813	376.147	lt
53	Spectrogram 1	1	66.336621628	67.375569680	100.917	256.881	lt
